Date,Average House Price,INDEX Q1 1993=100,Seasonally Adjusted Index,Monthly % Change (SA),Year % Change,Latest 3 months on previous 3 months
1/1/1991,53051.72,105.83,107.1,,,
2/1/1991,53496.80,106.72,107.5,0.00,,
3/1/1991,52892.86,105.52,106.5,-0.01,,
4/1/1991,53677.44,107.08,107.1,0.01,,
5/1/1991,54385.73,108.49,107.3,0.00,,
6/1/1991,55107.38,109.93,108.2,0.01,,0.00
7/1/1991,54541.12,108.80,107.0,-0.01,,0.00
8/1/1991,54040.71,107.81,106.8,0.00,,0.00
9/1/1991,53259.45,106.25,106.6,0.00,,-0.01
10/1/1991,53466.62,106.66,106.8,0.00,,-0.01
11/1/1991,53018.02,105.77,107.2,0.00,,0.00
12/1/1991,53104.08,105.94,106.6,-0.01,,0.00
1/1/1992,51951.20,103.64,104.9,-0.02,-0.02,0.00
2/1/1992,51850.18,103.44,104.2,-0.01,-0.03,-0.02
3/1/1992,51977.53,103.69,104.6,0.00,-0.02,-0.02
4/1/1992,51977.83,103.69,103.7,-0.01,-0.03,-0.02
5/1/1992,52712.60,105.16,104.0,0.00,-0.03,-0.01
6/1/1992,52905.53,105.54,104.0,0.00,-0.04,-0.01
7/1/1992,52726.86,105.18,103.5,0.00,-0.03,0.00
8/1/1992,52311.71,104.36,103.5,0.00,-0.03,0.00
9/1/1992,51096.96,101.93,102.3,-0.01,-0.04,-0.01
10/1/1992,50699.39,101.14,101.2,-0.01,-0.05,-0.01
11/1/1992,49601.66,98.95,100.2,-0.01,-0.06,-0.02
12/1/1992,49744.67,99.24,99.8,0.00,-0.06,-0.03
1/1/1993,50075.49,99.90,101.1,0.01,-0.04,-0.02
2/1/1993,50374.68,100.49,101.4,0.00,-0.03,0.00
3/1/1993,50187.36,100.12,100.8,-0.01,-0.03,0.01
4/1/1993,51677.24,103.09,102.9,0.02,-0.01,0.01
5/1/1993,50901.09,101.54,100.5,-0.02,-0.03,0.01
6/1/1993,52785.72,105.30,104.0,0.03,0.00,0.01
7/1/1993,52244.83,104.22,102.7,-0.01,-0.01,0.01
8/1/1993,51696.54,103.13,102.4,0.00,-0.01,0.02
9/1/1993,51177.01,102.09,102.4,0.00,0.00,0.00
10/1/1993,51209.30,102.16,102.2,0.00,0.01,0.00
11/1/1993,50613.53,100.97,102.0,0.00,0.02,-0.01
12/1/1993,51423.45,102.58,103.2,0.01,0.03,0.00
1/1/1994,51620.67,102.98,104.3,0.01,0.03,0.01
2/1/1994,51516.11,102.77,103.7,-0.01,0.02,0.02
3/1/1994,52101.39,103.94,104.6,0.01,0.04,0.02
4/1/1994,51505.63,102.75,102.5,-0.02,0.00,0.00
5/1/1994,51764.97,103.27,102.3,0.00,0.02,-0.01
6/1/1994,51514.00,102.76,101.7,-0.01,-0.02,-0.02
7/1/1994,52120.75,103.98,102.6,0.01,0.00,-0.01
8/1/1994,51685.81,103.11,102.4,0.00,0.00,-0.01
9/1/1994,51586.25,102.91,103.0,0.01,0.01,0.01
10/1/1994,52850.39,105.43,105.4,0.02,0.03,0.01
11/1/1994,52085.09,103.90,104.7,-0.01,0.03,0.02
12/1/1994,52092.42,103.92,104.5,0.00,0.01,0.02
1/1/1995,50901.39,101.54,103.0,-0.01,-0.01,0.00
2/1/1995,50789.02,101.32,102.3,-0.01,-0.01,-0.01
3/1/1995,51626.67,102.99,103.5,0.01,-0.01,-0.02
4/1/1995,52063.34,103.86,103.5,0.00,0.01,-0.01
5/1/1995,52180.03,104.09,103.2,0.00,0.01,0.00
6/1/1995,51347.21,102.43,101.5,-0.02,0.00,0.00
7/1/1995,51622.58,102.98,101.8,0.00,-0.01,-0.01
8/1/1995,51237.56,102.21,101.6,0.00,-0.01,-0.02
9/1/1995,50932.78,101.61,101.6,0.00,-0.01,-0.01
10/1/1995,50807.39,101.36,101.2,0.00,-0.04,-0.01
11/1/1995,50936.78,101.61,102.1,0.01,-0.02,0.00
12/1/1995,50798.39,101.34,101.9,0.00,-0.02,0.00
1/1/1996,50520.51,100.78,102.3,0.00,-0.01,0.01
2/1/1996,51255.78,102.25,103.3,0.01,0.01,0.01
3/1/1996,51519.17,102.78,103.2,0.00,0.00,0.01
4/1/1996,52699.92,105.13,104.7,0.01,0.01,0.02
5/1/1996,52908.80,105.55,104.7,0.00,0.01,0.02
6/1/1996,53325.27,106.38,105.5,0.01,0.04,0.02
7/1/1996,53588.79,106.90,105.8,0.00,0.04,0.02
8/1/1996,54025.01,107.77,107.1,0.01,0.05,0.02
9/1/1996,54334.45,108.39,108.2,0.01,0.07,0.02
10/1/1996,54824.78,109.37,109.3,0.01,0.08,0.03
11/1/1996,55436.23,110.59,110.9,0.01,0.09,0.03
12/1/1996,55092.60,109.90,110.5,0.00,0.08,0.03
1/1/1997,54655.73,109.03,110.9,0.00,0.08,0.02
2/1/1997,55621.14,110.96,112.2,0.01,0.09,0.02
3/1/1997,56515.84,112.74,113.1,0.01,0.10,0.02
4/1/1997,57405.89,114.52,114.1,0.01,0.09,0.02
5/1/1997,58195.73,116.09,115.2,0.01,0.10,0.03
6/1/1997,59188.54,118.07,117.0,0.02,0.11,0.03
7/1/1997,60133.64,119.96,118.8,0.02,0.12,0.03
8/1/1997,60581.23,120.85,120.1,0.01,0.12,0.04
9/1/1997,61334.26,122.36,122.1,0.02,0.13,0.04
10/1/1997,61488.55,122.66,122.6,0.00,0.12,0.04
11/1/1997,61879.09,123.44,123.7,0.01,0.12,0.04
12/1/1997,62037.03,123.76,124.6,0.01,0.13,0.03
1/1/1998,61819.73,123.32,125.5,0.01,0.13,0.02
2/1/1998,62769.69,125.22,126.6,0.01,0.13,0.02
3/1/1998,63493.42,126.66,127.0,0.00,0.12,0.02
4/1/1998,64300.76,128.27,127.8,0.01,0.12,0.02
5/1/1998,65131.30,129.93,129.0,0.01,0.12,0.02
6/1/1998,65870.53,131.40,130.0,0.01,0.11,0.02
7/1/1998,66654.01,132.97,131.7,0.01,0.11,0.02
8/1/1998,66171.31,132.00,131.1,0.00,0.09,0.02
9/1/1998,65947.67,131.56,131.2,0.00,0.08,0.02
10/1/1998,66123.40,131.91,132.0,0.01,0.08,0.01
11/1/1998,66149.99,131.96,132.3,0.00,0.07,0.01
12/1/1998,66372.05,132.41,133.4,0.01,0.07,0.01
1/1/1999,66384.92,132.43,134.7,0.01,0.07,0.02
2/1/1999,67021.05,133.70,135.3,0.00,0.07,0.02
3/1/1999,68308.08,136.27,136.5,0.01,0.08,0.02
4/1/1999,68856.13,137.36,136.9,0.00,0.07,0.02
5/1/1999,69932.91,139.51,138.5,0.01,0.07,0.02
6/1/1999,70789.07,141.22,139.5,0.01,0.07,0.02
7/1/1999,71232.00,142.10,140.7,0.01,0.07,0.02
8/1/1999,72634.72,144.90,143.9,0.02,0.10,0.03
9/1/1999,73232.46,146.09,145.7,0.01,0.11,0.04
10/1/1999,73768.89,147.16,147.4,0.01,0.12,0.04
11/1/1999,74954.05,149.53,150.0,0.02,0.13,0.04
12/1/1999,75218.66,150.05,151.2,0.01,0.13,0.04
1/1/2000,75060.42,149.74,152.3,0.01,0.13,0.04
2/1/2000,77071.74,153.75,155.7,0.02,0.15,0.04
3/1/2000,79392.50,158.38,158.5,0.02,0.16,0.04
4/1/2000,80892.76,161.37,160.9,0.02,0.17,0.05
5/1/2000,81005.78,161.60,160.5,0.00,0.16,0.05
6/1/2000,81451.93,162.49,160.4,0.00,0.15,0.03
7/1/2000,81133.02,161.85,160.2,0.00,0.14,0.01
8/1/2000,80736.64,161.06,160.0,0.00,0.11,0.00
9/1/2000,80672.49,160.93,160.5,0.00,0.10,0.00
10/1/2000,81036.37,161.66,162.1,0.01,0.10,0.00
11/1/2000,81769.72,163.12,163.7,0.01,0.09,0.01
12/1/2000,82188.42,163.96,165.1,0.01,0.09,0.02
1/1/2001,83449.87,166.47,169.3,0.03,0.11,0.03
2/1/2001,83313.62,166.20,168.5,0.00,0.08,0.03
3/1/2001,85076.55,169.72,169.8,0.01,0.07,0.03
4/1/2001,86243.55,172.05,171.5,0.01,0.07,0.02
5/1/2001,87266.61,174.09,173.0,0.01,0.08,0.02
6/1/2001,89067.57,177.68,175.3,0.01,0.09,0.02
7/1/2001,89961.60,179.46,177.4,0.01,0.11,0.03
8/1/2001,90361.07,180.26,179.0,0.01,0.12,0.03
9/1/2001,92432.44,184.39,183.8,0.03,0.15,0.04
10/1/2001,91652.79,182.84,183.4,0.00,0.13,0.04
11/1/2001,92261.67,184.05,184.8,0.01,0.13,0.04
12/1/2001,93544.48,186.61,187.9,0.02,0.14,0.03
1/1/2002,93231.24,185.99,189.1,0.01,0.12,0.03
2/1/2002,94964.63,189.44,192.1,0.02,0.14,0.03
3/1/2002,96792.37,193.09,193.4,0.01,0.14,0.03
4/1/2002,100472.60,200.43,199.8,0.03,0.16,0.04
5/1/2002,102885.56,205.25,204.0,0.02,0.18,0.05
6/1/2002,106692.77,212.84,209.9,0.03,0.20,0.07
7/1/2002,108818.43,217.08,214.4,0.02,0.21,0.07
8/1/2002,110890.16,221.21,219.6,0.02,0.23,0.08
9/1/2002,112918.52,225.26,224.5,0.02,0.22,0.07
10/1/2002,113665.00,226.75,227.4,0.01,0.24,0.07
11/1/2002,115760.80,230.93,231.9,0.02,0.25,0.06
12/1/2002,117205.78,233.81,235.5,0.02,0.25,0.06
1/1/2003,117905.37,235.21,239.1,0.02,0.26,0.05
2/1/2003,118521.47,236.44,239.8,0.00,0.25,0.04
3/1/2003,122179.55,243.74,244.4,0.02,0.26,0.04
4/1/2003,122747.93,244.87,244.1,0.00,0.22,0.03
5/1/2003,124751.70,248.87,247.3,0.01,0.21,0.03
6/1/2003,127214.50,253.78,250.4,0.01,0.19,0.03
7/1/2003,128251.26,255.85,252.4,0.01,0.18,0.03
8/1/2003,129257.65,257.86,256.0,0.01,0.17,0.03
9/1/2003,130473.42,260.28,259.4,0.01,0.16,0.04
10/1/2003,131947.34,263.22,264.0,0.02,0.16,0.04
11/1/2003,133387.67,266.09,267.2,0.01,0.15,0.04
12/1/2003,135443.57,270.20,272.3,0.02,0.16,0.05
1/1/2004,134805.73,268.92,273.1,0.00,0.14,0.04
2/1/2004,138729.56,276.75,280.6,0.03,0.17,0.04
3/1/2004,142584.26,284.44,285.4,0.02,0.17,0.04
4/1/2004,145917.92,291.09,290.0,0.02,0.19,0.05
5/1/2004,149019.88,297.28,295.3,0.02,0.19,0.05
6/1/2004,151523.86,302.27,298.5,0.01,0.19,0.05
7/1/2004,154298.53,307.81,303.7,0.02,0.20,0.05
8/1/2004,153742.53,306.70,304.7,0.00,0.19,0.04
9/1/2004,153726.76,306.67,305.7,0.00,0.18,0.03
10/1/2004,152159.15,303.54,304.4,0.00,0.15,0.02
11/1/2004,153438.59,306.09,307.3,0.01,0.15,0.01
12/1/2004,152622.73,304.47,307.0,0.00,0.13,0.01
1/1/2005,151757.17,302.74,307.2,0.00,0.13,0.01
2/1/2005,152878.94,304.98,309.1,0.01,0.10,0.01
3/1/2005,153876.17,306.97,308.0,0.00,0.08,0.01
4/1/2005,156128.03,311.46,310.0,0.01,0.07,0.01
5/1/2005,157272.25,313.74,311.5,0.00,0.06,0.01
6/1/2005,157790.99,314.78,311.1,0.00,0.04,0.01
7/1/2005,158347.70,315.89,311.7,0.00,0.03,0.01
8/1/2005,157309.75,313.82,312.0,0.00,0.02,0.01
9/1/2005,156516.54,312.23,311.4,0.00,0.02,0.00
10/1/2005,157107.35,313.41,314.3,0.01,0.03,0.00
11/1/2005,157138.89,313.48,314.4,0.00,0.02,0.01
12/1/2005,157249.76,313.70,316.6,0.01,0.03,0.01
1/1/2006,158477.77,316.15,320.6,0.01,0.04,0.01
2/1/2006,158572.97,316.34,320.5,0.00,0.04,0.02
